2024-06-24 14:05:41.694 -0400	set		SEARCHRECTANGLE = [[0,0],[960,540]]	3	on_setsearchsection	Common/search.script
2024-06-24 14:05:46.166 -0400	imagefound	(TEXT:"Results")	Unable to Find Image (TEXT:"Results"). Text not found.	9	function_isimagetextfound	Common/check.script
2024-06-24 14:05:46.215 -0400	set		SEARCHRECTANGLE = 	2	on_clearsearchsection	Common/search.script
2024-06-24 14:05:46.677 -0400	typetext		sample.stat	3	on_entertext	Common/keyBoard.script
2024-06-24 14:05:47.713 -0400	typetext		[returnKey]	3	on_entertext	Common/keyBoard.script
2024-06-24 14:05:48.763 -0400	typetext		[windowsKey]r	3	on_entertext	Common/keyBoard.script
2024-06-24 14:05:49.054 -0400	set		SEARCHRECTANGLE = [[0,540],[960,1080]]	3	on_setsearchsection	Common/search.script
2024-06-24 14:05:50.164 -0400	waitfor	(TEXT:"Run")	found at (55, 855)	6	on_waitfortext	Common/waitForEvent.script
2024-06-24 14:05:50.241 -0400	set		SEARCHRECTANGLE = 	2	on_clearsearchsection	Common/search.script
2024-06-24 14:05:52.331 -0400	typetext		notepad "C:\Users\Administrator\Documents\UserScenarios\sample\sample.stat"	3	on_entertext	Common/keyBoard.script
2024-06-24 14:05:53.380 -0400	typetext		[returnKey]	3	on_entertext	Common/keyBoard.script
2024-06-24 14:05:54.418 -0400	typetext		[windowsKey][upArrow]	3	on_entertext	Common/keyBoard.script
2024-06-24 14:05:55.467 -0400	typetext		[controlKey]a	3	on_entertext	Common/keyBoard.script
2024-06-24 14:05:56.503 -0400	typetext		[controlKey]c	3	on_entertext	Common/keyBoard.script
2024-06-24 14:06:02.870 -0400	Log		Line 484  is having the "2,               ,[1024], Application,  CBR Server,Total Unicast Messages Received (messages) = 24"	2	on_cmessage	Common/cLog.script
2024-06-24 14:06:03.120 -0400	typetext		[windowsAltKey][F4]	3	on_entertext	Common/keyBoard.script
2024-06-24 14:06:04.175 -0400	typetext		[controlKey]f	3	on_entertext	Common/keyBoard.script
2024-06-24 14:06:07.561 -0400	typetext		2,               ,[1024], Application,  CBR Server,Total Unicast Messages Received (messages) = 24	3	on_entertext	Common/keyBoard.script
